item,environment,condition,sentence,npi,design
1,sentential_negation,A,The manager did not approve any proposals.,any,triplet
1,sentential_negation,B,The manager who did not approve the budget reviewed any proposals.,any,triplet
1,sentential_negation,C,The manager did approve any proposals.,any,triplet
2,sentential_negation,A,The teacher has not assigned any homework.,any,triplet
2,sentential_negation,B,The teacher who has not finished the grading assigned any homework.,any,triplet
2,sentential_negation,C,The teacher has assigned any homework.,any,triplet
3,sentential_negation,A,The committee did not consider any alternatives.,any,triplet
3,sentential_negation,B,The committee that did not meet last week considered any alternatives.,any,triplet
3,sentential_negation,C,The committee did consider any alternatives.,any,triplet
4,sentential_negation,A,The doctor has not recommended any treatment.,any,triplet
4,sentential_negation,B,The doctor who has not seen the results recommended any treatment.,any,triplet
4,sentential_negation,C,The doctor has recommended any treatment.,any,triplet
5,sentential_negation,A,The company did not hire any contractors.,any,triplet
5,sentential_negation,B,The company that did not post the earnings hired any contractors.,any,triplet
5,sentential_negation,C,The company did hire any contractors.,any,triplet
6,sentential_negation,A,The researcher did not find any evidence.,any,triplet
6,sentential_negation,B,The researcher who did not publish the paper found any evidence.,any,triplet
6,sentential_negation,C,The researcher did find any evidence.,any,triplet
7,sentential_negation,A,The chef did not use any butter.,any,triplet
7,sentential_negation,B,The chef who did not prepare the appetizer used any butter.,any,triplet
7,sentential_negation,C,The chef did use any butter.,any,triplet
8,sentential_negation,A,The pilot did not report any turbulence.,any,triplet
8,sentential_negation,B,The pilot who did not complete the checklist reported any turbulence.,any,triplet
8,sentential_negation,C,The pilot did report any turbulence.,any,triplet
9,sentential_negation,A,The bank did not offer any discounts.,any,triplet
9,sentential_negation,B,The bank that did not update the system offered any discounts.,any,triplet
9,sentential_negation,C,The bank did offer any discounts.,any,triplet
10,sentential_negation,A,The inspector did not notice any damage.,any,triplet
10,sentential_negation,B,The inspector who did not review the footage noticed any damage.,any,triplet
10,sentential_negation,C,The inspector did notice any damage.,any,triplet
11,sentential_negation,A,The students have not submitted any essays.,any,triplet
11,sentential_negation,B,The students who have not attended the lecture submitted any essays.,any,triplet
11,sentential_negation,C,The students have submitted any essays.,any,triplet
12,sentential_negation,A,The engineer did not detect any flaws.,any,triplet
12,sentential_negation,B,The engineer who did not run the simulation detected any flaws.,any,triplet
12,sentential_negation,C,The engineer did detect any flaws.,any,triplet
13,sentential_negation,A,The librarian has not catalogued any donations.,any,triplet
13,sentential_negation,B,The librarian who has not sorted the returns catalogued any donations.,any,triplet
13,sentential_negation,C,The librarian has catalogued any donations.,any,triplet
14,sentential_negation,A,The officer did not file any complaints.,any,triplet
14,sentential_negation,B,The officer who did not interview the witness filed any complaints.,any,triplet
14,sentential_negation,C,The officer did file any complaints.,any,triplet
15,sentential_negation,A,The architect did not draft any blueprints.,any,triplet
15,sentential_negation,B,The architect who did not visit the site drafted any blueprints.,any,triplet
15,sentential_negation,C,The architect did draft any blueprints.,any,triplet
16,sentential_negation,A,The editor has not approved any articles.,any,triplet
16,sentential_negation,B,The editor who has not read the manuscript approved any articles.,any,triplet
16,sentential_negation,C,The editor has approved any articles.,any,triplet
17,sentential_negation,A,The scientist did not observe any reactions.,any,triplet
17,sentential_negation,B,The scientist who did not calibrate the instrument observed any reactions.,any,triplet
17,sentential_negation,C,The scientist did observe any reactions.,any,triplet
18,sentential_negation,A,The agency did not receive any applications.,any,triplet
18,sentential_negation,B,The agency that did not open the portal received any applications.,any,triplet
18,sentential_negation,C,The agency did receive any applications.,any,triplet
19,sentential_negation,A,The lawyer did not raise any objections.,any,triplet
19,sentential_negation,B,The lawyer who did not review the contract raised any objections.,any,triplet
19,sentential_negation,C,The lawyer did raise any objections.,any,triplet
20,sentential_negation,A,The curator has not displayed any paintings.,any,triplet
20,sentential_negation,B,The curator who has not organized the exhibit displayed any paintings.,any,triplet
20,sentential_negation,C,The curator has displayed any paintings.,any,triplet
21,sentential_negation,A,The director did not schedule any meetings.,any,triplet
21,sentential_negation,B,The director who did not cancel the conference scheduled any meetings.,any,triplet
21,sentential_negation,C,The director did schedule any meetings.,any,triplet
22,sentential_negation,A,The mechanic did not replace any parts.,any,triplet
22,sentential_negation,B,The mechanic who did not inspect the engine replaced any parts.,any,triplet
22,sentential_negation,C,The mechanic did replace any parts.,any,triplet
23,sentential_negation,A,The auditor has not flagged any discrepancies.,any,triplet
23,sentential_negation,B,The auditor who has not examined the records flagged any discrepancies.,any,triplet
23,sentential_negation,C,The auditor has flagged any discrepancies.,any,triplet
24,sentential_negation,A,The surgeon did not perform any procedures.,any,triplet
24,sentential_negation,B,The surgeon who did not consult the patient performed any procedures.,any,triplet
24,sentential_negation,C,The surgeon did perform any procedures.,any,triplet
25,sentential_negation,A,The warden did not grant any privileges.,any,triplet
25,sentential_negation,B,The warden who did not review the appeals granted any privileges.,any,triplet
25,sentential_negation,C,The warden did grant any privileges.,any,triplet
26,no_subject,A,No manager approved any proposals.,any,triplet
26,no_subject,B,The manager that no assistant contacted approved any proposals.,any,triplet
26,no_subject,C,The manager approved any proposals.,any,triplet
27,no_subject,A,No teacher assigned any homework.,any,triplet
27,no_subject,B,The teacher that no student questioned assigned any homework.,any,triplet
27,no_subject,C,The teacher assigned any homework.,any,triplet
