item,condition,sentence,npi_word,log_prob,npi_position,environment
1,A,The manager did not approve any proposals.,any,-4.86328125,6,sentential_negation
1,B,The manager who did not approve the budget reviewed any proposals.,any,-6.92578125,10,sentential_negation
1,C,The manager did approve any proposals.,any,-7.94921875,5,sentential_negation
2,A,The teacher has not assigned any homework.,any,-1.6142578125,6,sentential_negation
2,B,The teacher who has not finished the grading assigned any homework.,any,-10.171875,10,sentential_negation
2,C,The teacher has assigned any homework.,any,-10.2578125,5,sentential_negation
3,A,The committee did not consider any alternatives.,any,-2.517578125,6,sentential_negation
3,B,The committee that did not meet last week considered any alternatives.,any,-9.0390625,10,sentential_negation
3,C,The committee did consider any alternatives.,any,-7.52734375,5,sentential_negation
4,A,The doctor has not recommended any treatment.,any,-1.6796875,6,sentential_negation
4,B,The doctor who has not seen the results recommended any treatment.,any,-6.40625,10,sentential_negation
4,C,The doctor has recommended any treatment.,any,-10.7109375,5,sentential_negation
5,A,The company did not hire any contractors.,any,-2.22265625,6,sentential_negation
5,B,The company that did not post the earnings hired any contractors.,any,-11.6015625,10,sentential_negation
5,C,The company did hire any contractors.,any,-8.8359375,5,sentential_negation
6,A,The researcher did not find any evidence.,any,-1.1240234375,6,sentential_negation
6,B,The researcher who did not publish the paper found any evidence.,any,-6.625,10,sentential_negation
6,C,The researcher did find any evidence.,any,-5.98828125,5,sentential_negation
7,A,The chef did not use any butter.,any,-1.9892578125,6,sentential_negation
7,B,The chef who did not prepare the appetizer used any butter.,any,-7.2265625,10,sentential_negation
7,C,The chef did use any butter.,any,-7.078125,5,sentential_negation
8,A,The pilot did not report any turbulence.,any,-1.0244140625,6,sentential_negation
8,B,The pilot who did not complete the checklist reported any turbulence.,any,-7.47265625,10,sentential_negation
8,C,The pilot did report any turbulence.,any,-6.38671875,5,sentential_negation
9,A,The bank did not offer any discounts.,any,-1.048828125,6,sentential_negation
9,B,The bank that did not update the system offered any discounts.,any,-8.53125,10,sentential_negation
9,C,The bank did offer any discounts.,any,-7.11328125,5,sentential_negation
10,A,The inspector did not notice any damage.,any,-1.5029296875,6,sentential_negation
10,B,The inspector who did not review the footage noticed any damage.,any,-7.73046875,10,sentential_negation
10,C,The inspector did notice any damage.,any,-5.94921875,5,sentential_negation
11,A,The students have not submitted any essays.,any,-1.923828125,6,sentential_negation
11,B,The students who have not attended the lecture submitted any essays.,any,-6.12109375,10,sentential_negation
11,C,The students have submitted any essays.,any,-10.9921875,5,sentential_negation
12,A,The engineer did not detect any flaws.,any,-1.072265625,6,sentential_negation
12,B,The engineer who did not run the simulation detected any flaws.,any,-7.51171875,10,sentential_negation
12,C,The engineer did detect any flaws.,any,-5.0859375,5,sentential_negation
13,A,The librarian has not catalogued any donations.,any,-2.923828125,7,sentential_negation
13,B,The librarian who has not sorted the returns catalogued any donations.,any,-6.89453125,11,sentential_negation
13,C,The librarian has catalogued any donations.,any,-8.3671875,6,sentential_negation
14,A,The officer did not file any complaints.,any,-2.001953125,6,sentential_negation
14,B,The officer who did not interview the witness filed any complaints.,any,-10.0078125,10,sentential_negation
14,C,The officer did file any complaints.,any,-7.4453125,5,sentential_negation
15,A,The architect did not draft any blueprints.,any,-2.9375,6,sentential_negation
15,B,The architect who did not visit the site drafted any blueprints.,any,-9.0703125,10,sentential_negation
